et_date,et_time,event
2021-01-13,08:30,CPI
2021-01-27,14:00,FOMC
2021-02-10,08:30,CPI
2021-03-10,08:30,CPI
2021-03-17,14:00,FOMC
2021-04-13,08:30,CPI
2021-04-28,14:00,FOMC
2021-05-12,08:30,CPI
2021-06-10,08:30,CPI
2021-06-16,14:00,FOMC
2021-07-13,08:30,CPI
2021-07-28,14:00,FOMC
2021-08-11,08:30,CPI
2021-09-14,08:30,CPI
2021-09-22,14:00,FOMC
2021-10-13,08:30,CPI
2021-11-03,14:00,FOMC
2021-11-10,08:30,CPI
2021-12-10,08:30,CPI
2021-12-15,14:00,FOMC
2022-01-12,08:30,CPI
2022-01-26,14:00,FOMC
2022-02-10,08:30,CPI
2022-03-10,08:30,CPI
2022-03-16,14:00,FOMC
2022-04-12,08:30,CPI
2022-05-04,14:00,FOMC
2022-05-11,08:30,CPI
2022-06-10,08:30,CPI
2022-06-15,14:00,FOMC
2022-07-13,08:30,CPI
2022-07-27,14:00,FOMC
2022-08-10,08:30,CPI
2022-09-13,08:30,CPI
2022-09-21,14:00,FOMC
2022-10-13,08:30,CPI
2022-11-02,14:00,FOMC
2022-11-10,08:30,CPI
2022-12-13,08:30,CPI
2022-12-14,14:00,FOMC
2023-01-12,08:30,CPI
2023-02-01,14:00,FOMC
2023-02-14,08:30,CPI
2023-03-14,08:30,CPI
2023-03-22,14:00,FOMC
2023-04-12,08:30,CPI
2023-05-03,14:00,FOMC
2023-05-10,08:30,CPI
2023-06-13,08:30,CPI
2023-06-14,14:00,FOMC
2023-07-12,08:30,CPI
2023-07-26,14:00,FOMC
2023-08-10,08:30,CPI
2023-09-13,08:30,CPI
2023-09-20,14:00,FOMC
2023-10-12,08:30,CPI
2023-11-01,14:00,FOMC
2023-11-14,08:30,CPI
2023-12-12,08:30,CPI
2023-12-13,14:00,FOMC
2024-01-11,08:30,CPI
2024-01-31,14:00,FOMC
2024-02-13,08:30,CPI
2024-03-12,08:30,CPI
2024-03-20,14:00,FOMC
2024-04-10,08:30,CPI
2024-05-01,14:00,FOMC
2024-05-15,08:30,CPI
2024-06-12,08:30,CPI
2024-06-12,14:00,FOMC
2024-07-11,08:30,CPI
2024-07-31,14:00,FOMC
2024-08-14,08:30,CPI
2024-09-11,08:30,CPI
2024-09-18,14:00,FOMC
2024-10-10,08:30,CPI
2024-11-07,14:00,FOMC
2024-11-13,08:30,CPI
2024-12-11,08:30,CPI
2024-12-18,14:00,FOMC
2025-01-15,08:30,CPI
2025-01-29,14:00,FOMC
2025-02-12,08:30,CPI
2025-03-12,08:30,CPI
2025-03-19,14:00,FOMC
2025-04-10,08:30,CPI
2025-05-07,14:00,FOMC
2025-05-13,08:30,CPI
2025-06-11,08:30,CPI
2025-06-18,14:00,FOMC
2025-07-15,08:30,CPI
2025-07-30,14:00,FOMC
2025-08-12,08:30,CPI
2025-09-11,08:30,CPI
2025-09-17,14:00,FOMC
2025-10-24,08:30,CPI
2025-10-29,14:00,FOMC
2025-12-10,14:00,FOMC
2025-12-18,08:30,CPI
2026-01-13,08:30,CPI
2026-01-28,14:00,FOMC
2026-02-13,08:30,CPI
2026-03-11,08:30,CPI
2026-03-18,14:00,FOMC
2026-04-10,08:30,CPI
2026-04-29,14:00,FOMC
2026-05-12,08:30,CPI
2026-06-10,08:30,CPI
2026-06-17,14:00,FOMC
2026-07-14,08:30,CPI
2026-07-29,14:00,FOMC
2026-08-12,08:30,CPI
